latitude,longitude,PROPERTY TYPE,Furnish Type,BEDROOMS,BATHROOMS,rent
51.5790059,-0.1272029,Flat,Unfurnished,2.0,1.0,2200
51.5233448,-0.0861987,Apartment,Furnished,1.0,1.0,2025
51.5035613,-0.1097534,Apartment,Furnished,2.0,1.0,1950
51.494641,-0.1043034,House,Part furnished,4.0,1.0,4000
51.5336569,-0.1725509,Flat,"Furnished or unfurnished, landlord is flexible",2.0,1.0,2850
51.5240928,-0.0824787,Apartment,Unfurnished,1.0,1.0,2200
51.4747753,-0.1938479,House,Ask agent,5.0,4.0,10833
51.5912652,-0.0608,Flat,Unfurnished,1.0,1.0,1900
51.4781026,-0.1458064,Flat,Furnished,2.0,2.0,4225
51.4750534,-0.1826773,Apartment,Furnished,1.0,1.0,2700
51.4557486,-0.3241464,House,Unfurnished,3.0,2.0,2950
51.5458408,-0.0972517,Ground Flat,Furnished,2.0,1.0,2499
0.0,0.0,Flat,Furnished,1.0,1.0,2899
51.471667,-0.207345,Maisonette,Unfurnished,3.0,2.0,5300
51.52911539999999,-0.1702661,Apartment,Furnished,1.0,1.0,2200
51.5224773,-0.1970861,Apartment,Furnished,3.0,1.0,2300
51.6486294,-0.1798976,Flat,Unfurnished,1.0,1.0,1700
51.5211528,-0.2606087,House,Ask agent,3.0,2.0,2900
51.5394046,-0.4853861,Semi-Detached,Furnished,4.0,1.0,1900
51.5039818,-0.0920073,Flat,Furnished,2.0,1.0,4996
51.5027885,-0.0967069,Flat,Furnished,2.0,2.0,4000
51.5728114,-0.1000159,House Share,Furnished,1.0,20.0,1500
51.7525897,-0.3165782,Studio,"Furnished or unfurnished, landlord is flexible",,1.0,1149
51.6359512,-0.1238593,Flat,Furnished,1.0,1.0,1378
51.4748242,-0.3554734,Flat,Ask agent,1.0,1.0,1400
51.6124687,-0.0864548,Studio,"Furnished or unfurnished, landlord is flexible",,1.0,1350
51.6135764,-0.135064,Maisonette,Unfurnished,3.0,2.0,2200
51.4671701,-0.3584859,Studio,Furnished,,1.0,1400
51.5567522,-0.0956667,Flat,Ask agent,1.0,,1712
51.5049888,-0.1265605,Flat,Furnished,1.0,1.0,3467
51.6301037,-0.3902607,Bungalow,Unfurnished,4.0,2.0,2700
51.5395807,-0.0766854,Flat,"Furnished or unfurnished, landlord is flexible",1.0,1.0,1600
51.5066231,-0.5432939,Flat,Unfurnished,1.0,1.0,1500
51.5146027,-0.1112919,Apartment,Furnished,1.0,1.0,4140
51.5630094,-0.232882,Flat,Furnished,1.0,1.0,1395
51.589669,-0.1155781,Studio,Unfurnished,,1.0,1475
51.4462864,-0.301874,Flat,Unfurnished,1.0,1.0,1750
51.5470459,-0.2105576,Flat,Unfurnished,3.0,2.0,3500
51.4610708,-0.1785987,House,Part furnished,4.0,2.0,4750
51.4884335,-0.2644,Apartment,"Furnished or unfurnished, landlord is flexible",3.0,,2500
51.5037999,-0.0980847,Flat,Furnished,1.0,1.0,1972
51.4901617,-0.1391755,Flat,Furnished,1.0,1.0,2700
51.5014203,-0.1862694,Apartment,Furnished,3.0,3.0,17333
51.5401784,-0.1459487,Flat,Unfurnished,2.0,2.0,2999
51.4852387,-0.1685587,Flat,Furnished,1.0,1.0,2450
51.4205589,-0.4462632,House Share,Furnished,1.0,1.0,930
51.4752964,-0.1839774,Flat,"Furnished or unfurnished, landlord is flexible",2.0,2.0,3033
51.5037773,-0.423972,Apartment,Furnished,1.0,1.0,1185
51.5936036,-0.139673,Flat,Part furnished,2.0,1.0,2300
51.51053839999999,-0.5950405999999999,Flat,Furnished,1.0,1.0,1200
51.5321059,-0.1202116,Flat,"Furnished or unfurnished, landlord is flexible",2.0,1.0,3150
51.5193547,-0.1215605,Apartment,Furnished,3.0,3.0,8000
51.4901882,-0.3049414,Flat,"Furnished or unfurnished, landlord is flexible",2.0,1.0,2200
51.5753935,-0.1428512,Terraced,Unfurnished,2.0,2.0,2799
51.6123076,-0.3703874,Apartment,Unfurnished,2.0,2.0,1675
51.5537663,-0.0535922,Apartment,Unfurnished,1.0,1.0,1650
51.5048363,-0.4607747,Apartment,Furnished,1.0,1.0,1450
51.5303564,-0.181065,Detached,"Furnished or unfurnished, landlord is flexible",4.0,2.0,52000
51.4807757,-0.1451964,Flat,"Furnished or unfurnished, landlord is flexible",3.0,3.0,8880
51.5240928,-0.0824787,Apartment,Unfurnished,1.0,1.0,2201
51.5266422,-0.1632114,Apartment,Part furnished,2.0,1.0,2500
51.498653,-0.1601819,Terraced,Unfurnished,4.0,3.0,14950
51.4966497,-0.1858904,Flat,Unfurnished,3.0,2.0,5499
51.4762695,-0.1984957,Terraced,Unfurnished,5.0,4.0,7000
51.5070509,-0.3879306,Apartment,Furnished,1.0,1.0,1450
51.539834,-0.1248348,Flat,"Furnished or unfurnished, landlord is flexible",2.0,2.0,4465
51.7224883,-0.1822851,Apartment,Unfurnished,3.0,2.0,2350
51.6077704,-0.1842419,,Unfurnished,,1.0,1400
51.5118238,-0.0753394,Flat,Unfurnished,2.0,2.0,4500
51.5410452,-0.2849535,Apartment,"Furnished or unfurnished, landlord is flexible",2.0,2.0,2500
51.5751499,-0.5607761,Detached,Unfurnished,5.0,3.0,4990
51.4820436,-0.1348455,Flat,Furnished,2.0,2.0,4247
51.6646702,-0.1722203,Apartment,Unfurnished,3.0,3.0,3500
51.6450602,-0.4756934,Semi-Detached,Unfurnished,3.0,2.0,2500
51.4534274,-0.2108634,Flat,Furnished,2.0,1.0,2000
51.49373,-0.1883157,Flat,Furnished,1.0,1.0,2652
51.4453624,-0.1570982,Apartment,Part furnished,2.0,1.0,3000
51.5270078,-0.1755052,Apartment,Furnished,1.0,1.0,2300
51.5675635,-0.2137071,Semi-Detached,Unfurnished,4.0,1.0,2535
51.5079645,-0.1047892,Apartment,Furnished,1.0,1.0,4117
51.4987251,-0.1557211,Flat,Furnished,3.0,2.0,13628
51.4191883,-0.2975548,Detached,Unfurnished,3.0,2.0,3790
51.49853659999999,-0.1484453,Town House,Furnished,3.0,3.0,23833
51.5178535,-0.2012751,Flat,Part furnished,1.0,1.0,2650
51.4968673,-0.1792261,Flat,Part furnished,1.0,1.0,3000
51.4820728,-0.1302477,Apartment,Furnished,1.0,1.0,3683
51.5190141,-0.0745482,Flat,Ask agent,2.0,2.0,4000
51.6507675,-0.4137921,House Share,Furnished,1.0,1.0,930
51.5584196,-0.1881911,Flat,Ask agent,3.0,2.0,3878
51.7455859,-0.3329807,Apartment,Unfurnished,2.0,1.0,1350
51.4922711,-0.2310978,Apartment,Furnished,1.0,1.0,2015
51.5536733,-0.5845044,Detached,"Furnished or unfurnished, landlord is flexible",5.0,3.0,4500
51.4983302,-0.1314233,Flat,Furnished,2.0,2.0,4745
51.5464386,-0.4803234,Apartment,Ask agent,,1.0,1195
51.5224574,-0.1596126,Flat,Furnished,3.0,2.0,7000
51.556514,-0.1202644,Flat,"Furnished or unfurnished, landlord is flexible",3.0,1.0,2950
51.4850077,-0.1280095,Apartment,Furnished,3.0,2.0,6500
51.4991046,-0.2645207,Apartment,Ask agent,1.0,1.0,1798
51.4539609,-0.17484,Apartment,Ask agent,2.0,2.0,2000
51.4838092,-0.1248796,Flat,Furnished,2.0,,4500
51.5464386,-0.4803234,Studio,Furnished,,1.0,1176
51.542839,-0.3505448,Ground Flat,Unfurnished,2.0,1.0,1800
51.4983302,-0.1314233,Flat,Furnished,2.0,2.0,4550
51.5464386,-0.4803234,Studio,Furnished,,1.0,1230
51.4902905,-0.0983902,Apartment,Furnished,1.0,1.0,1842
51.49698,-0.1849364,Flat,Furnished,2.0,1.0,2999
51.6495979,-0.1688765,Terraced,Ask agent,2.0,1.0,2300
51.4774656,-0.1886053,Apartment,Furnished,1.0,1.0,2817
0.0,0.0,Apartment,Furnished,2.0,2.0,3800
51.5877359,-0.1177336,Apartment,Unfurnished,2.0,2.0,2300
51.616548,-0.1698752,Apartment,Furnished,2.0,1.0,1900
51.4827408,-0.3859512,Detached,Ask agent,3.0,1.0,2800
51.5464386,-0.4803234,Studio,Furnished,,1.0,1220
51.5283137,-0.1840566,Apartment,Part furnished,2.0,1.0,2851
51.51759999999999,-0.0733591,Flat,Part furnished,1.0,1.0,2920
51.428661,-0.4898444,End of Terrace,Ask agent,2.0,,1650
51.4872683,-0.1500413,Flat,"Furnished or unfurnished, landlord is flexible",2.0,2.0,4199
51.5207293,-0.227368,Apartment,Unfurnished,2.0,2.0,2600
51.699096,-0.1833664,Cottage,Furnished,2.0,,1495
51.5426106,-0.3565476,Apartment,Furnished,1.0,1.0,1782
51.4901882,-0.3049414,Apartment,Unfurnished,3.0,3.0,3250
51.54625249999999,-0.1796014,Flat,Part furnished,1.0,1.0,1950
51.5316803,-0.3835587,Flat,Unfurnished,2.0,1.0,1695
51.4127203,-0.307162,Apartment,Unfurnished,1.0,1.0,1750
51.4746109,-0.1322215,Flat,Furnished,1.0,1.0,3235
51.5220525,-0.0828739,Flat,Part furnished,2.0,2.0,5499
51.5488559,-0.3424689,Apartment,Unfurnished,2.0,2.0,2317
51.5645226,-0.3057566,,Furnished,1.0,,875
51.4746109,-0.1322215,Flat,Furnished,2.0,2.0,3399
51.6214872,-0.1075657,Flat,Unfurnished,2.0,1.0,1900
51.6518015,-0.5010899,Detached,Unfurnished,4.0,2.0,3500
0.0,0.0,Apartment,Furnished,1.0,1.0,2700
51.5464386,-0.4803234,Studio,Furnished,,1.0,1176
51.5093689,-0.299988,Studio,Furnished,,,1500
51.51759999999999,-0.0733591,Flat,Part furnished,2.0,2.0,3300
51.5263335,-0.1631663,Apartment,Furnished,1.0,1.0,2300
51.4971143,-0.1526635,Apartment,Furnished,2.0,2.0,9512
51.4965193,-0.167329,Apartment,Ask agent,1.0,1.0,3445
51.5471338,-0.2489417,Flat,Part furnished,2.0,2.0,1925
51.56809759999999,-0.0553286,Apartment,Part furnished,1.0,1.0,1850
51.4939063,-0.149545,Terraced,Ask agent,4.0,3.0,11050
51.4676328,-0.3680054,Flat,Furnished,1.0,1.0,1600
51.539466,-0.6560172,Apartment,Unfurnished,1.0,1.0,1450
51.5040057,-0.4204266,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,1.0,1750
51.4746109,-0.1322215,Flat,Furnished,2.0,2.0,3499
51.5204204,-0.2743877,Semi-Detached,Unfurnished,4.0,2.0,3500
51.5520164,-0.2244845,Flat,Furnished,2.0,1.0,2250
51.5568013,-0.1180609,Apartment,Ask agent,1.0,1.0,2000
51.5199132,-0.222143,Studio,Ask agent,,1.0,1395
51.5183348,-0.4091778,Semi-Detached,Ask agent,3.0,2.0,2400
51.4956459,-0.1289263,Apartment,Furnished,2.0,1.0,2817
51.4364585,-0.4680679,Detached Bungalow,Unfurnished,3.0,1.0,2500
51.7135634,-0.3606775,Flat,Unfurnished,1.0,1.0,850
51.5568013,-0.1180609,Apartment,Furnished,4.0,2.0,4000
51.5493458,-0.2039704,Flat,Unfurnished,2.0,1.0,2700
51.61414689999999,-0.2826486,Flat,Unfurnished,3.0,2.0,2300
51.5869023,-0.2153778,Flat,"Furnished or unfurnished, landlord is flexible",1.0,1.0,1100
51.5433794,-0.1642381,Flat,Furnished,4.0,2.0,3650
51.5144459,-0.1752661,Flat,Furnished,1.0,,2492
51.5464016,-0.2145136,Ground Flat,Furnished,1.0,1.0,1582
51.4746109,-0.1322215,Flat,Furnished,2.0,2.0,3649
51.4393065,-0.3705554,End of Terrace,Ask agent,3.0,2.0,2250
51.47251559999999,-0.1820496,Apartment,Furnished,2.0,2.0,3012
51.495539,-0.2423227999999999,Apartment,Furnished,1.0,1.0,1700
51.5697817,-0.3526799,Semi-Detached,Part furnished,3.0,1.0,2300
51.5623923,-0.1223696,Studio,Furnished,,1.0,1192
51.5475979,-0.1236327,Apartment,Furnished,2.0,2.0,2750
51.5070883,-0.3840889,Flat,Furnished,2.0,1.0,2000
51.5064119,-0.1999922,Apartment,"Furnished or unfurnished, landlord is flexible",2.0,2.0,7367
51.5752729,-0.0752721,Flat,"Furnished or unfurnished, landlord is flexible",1.0,1.0,1350
51.472492,-0.1822528,Apartment,"Furnished or unfurnished, landlord is flexible",2.0,2.0,3501
51.59515,-0.3684385,Semi-Detached,Furnished,3.0,1.0,2100
51.4935935,-0.1271276,Detached,Furnished,2.0,2.0,5482
51.520974,-0.1061625,Apartment,Furnished,2.0,2.0,2950
51.5577275,-0.1212795,Apartment,Part furnished,2.0,1.0,2500
51.549944,-0.127806,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,1.0,1825
51.548731,-0.1515129,Maisonette,Part furnished,2.0,1.0,2145
51.4925954,-0.09805029999999999,Apartment,Furnished,2.0,2.0,3467
51.4809265,-0.1325186,Flat,"Furnished or unfurnished, landlord is flexible",1.0,1.0,3012
51.5012438,-0.2129594,Apartment,Furnished,2.0,1.0,2100
51.5135728,-0.1498663,Apartment,Furnished,2.0,1.0,5090
51.5608115,-0.2796473,Flat,Furnished,1.0,1.0,1845
51.5239777,-0.0841957,Flat,Unfurnished,1.0,1.0,1775
51.5071023,-0.0921071,Flat,Furnished,2.0,2.0,5599
51.5002043,-0.5543482,Terraced,Furnished,4.0,2.0,1950
51.5321541,-0.1212389,Flat,Unfurnished,2.0,2.0,3800
51.5306872,-0.146932,Flat,Furnished,3.0,2.0,4550
51.5134258,-0.2309714,Flat Share,Furnished,1.0,2.0,850
51.4359892,-0.4038782,Terraced,Unfurnished,3.0,2.0,2000
51.5733204,-0.3012749,Semi-Detached,Unfurnished,3.0,1.0,2450
51.5453971,-0.2004112,Apartment,Furnished,3.0,2.0,5975
51.4576787,-0.1428619,Flat,Furnished,2.0,1.0,3250
51.4872683,-0.1500413,Apartment,"Furnished or unfurnished, landlord is flexible",3.0,2.0,6050
51.5306127,-0.2346151,Terraced,Ask agent,4.0,2.0,4996
51.4916327,-0.1286456,Apartment,Furnished,2.0,2.0,5480
51.5130282,-0.0745443,Apartment,"Furnished or unfurnished, landlord is flexible",2.0,2.0,4498
51.4820728,-0.1302477,Apartment,Furnished,2.0,2.0,4000
51.5447816,-0.2137935,Flat,Furnished,,1.0,1396
51.4897744,-0.1922727,Flat,Furnished,2.0,1.0,3298
51.6017753,-0.1897179,Apartment,Unfurnished,1.0,1.0,1700
51.60445989999999,-0.1896437,Apartment,Part furnished,2.0,1.0,1900
51.5621577,-0.1212538,Flat,Part furnished,1.0,1.0,1550
51.5464386,-0.4803234,Studio,Furnished,,1.0,1195
51.5137239,-0.2986295,Studio,Furnished,,1.0,1875
0.0,0.0,Apartment,Furnished,2.0,2.0,3900
51.4973658,-0.0989049,Apartment,Furnished,2.0,2.0,2600
51.539408,-0.4850962,Terraced,"Furnished or unfurnished, landlord is flexible",4.0,1.0,1900
51.4484453,-0.1992788,Semi-Detached,Furnished,4.0,2.0,3650
51.5137874,-0.5972944,Flat,Unfurnished,2.0,,1700
51.5605709,-0.2352038,Flat,Furnished,4.0,2.0,4000
51.5572589,-0.1930675,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,1.0,3432
51.4934224,-0.1742009,Flat,Unfurnished,3.0,2.0,8450
51.5118238,-0.0753394,Flat,Furnished,2.0,2.0,4500
51.521265,-0.1594034,Studio,"Furnished or unfurnished, landlord is flexible",,1.0,5633
51.5130282,-0.0745443,Apartment,"Furnished or unfurnished, landlord is flexible",2.0,2.0,4500
51.5080806,-0.1237903,Apartment,"Furnished or unfurnished, landlord is flexible",1.0,1.0,1842
51.5289843,-0.3927778,Semi-Detached,"Furnished or unfurnished, landlord is flexible",4.0,2.0,1700
51.5608115,-0.2796473,Studio,Furnished,,1.0,1650
51.534366,-0.2191873,Studio,Furnished,,1.0,1050
51.4945257,-0.4165885,Terraced,"Furnished or unfurnished, landlord is flexible",4.0,,2700
51.5268153,-0.1634943,Flat,Furnished,5.0,3.0,7410
51.5372187,-0.1355278,Flat,Ask agent,3.0,1.0,3467
51.5226477,-0.1568683,Flat,Ask agent,4.0,4.0,8558
51.5162975,-0.3117575,Apartment,Ask agent,3.0,2.0,4700
51.5922101,-0.2323162,Flat,Furnished,1.0,1.0,1450
51.5222527,-0.4351734,Terraced,"Furnished or unfurnished, landlord is flexible",3.0,,2000
51.5608115,-0.2796473,Studio,Furnished,,1.0,1625
51.5273102,-0.1268669,Studio,Furnished,,1.0,2470
51.5475795,-0.1600455,Apartment,Part furnished,2.0,1.0,3000
51.5182532,-0.0929714,Flat,Furnished,2.0,2.0,3750
51.5229106,-0.0777472,Apartment,Furnished,1.0,1.0,2000
51.5559428,-0.1194482,Apartment,Unfurnished,1.0,1.0,1750
51.5263335,-0.1631663,Detached,Furnished,1.0,1.0,2300
51.5180497,-0.1712067,Apartment,Furnished,1.0,1.0,2383
51.5397677,-0.4729566,Apartment,"Furnished or unfurnished, landlord is flexible",2.0,,1700
51.5329789,-0.4556338,Maisonette,"Furnished or unfurnished, landlord is flexible",2.0,,1550
51.5268153,-0.1634943,Flat,Furnished,4.0,3.0,10010
51.5138101,-0.4732643,Apartment,"Furnished or unfurnished, landlord is flexible",2.0,,1600
51.4996046,-0.1042513,Apartment,Furnished,2.0,2.0,3700
51.5003451,-0.5513496,House,Unfurnished,3.0,,1950
51.5540739,-0.1153865,Apartment,Unfurnished,2.0,1.0,2500
0.0,0.0,Flat,Furnished,3.0,2.0,3445
51.4654443,-0.1502284,Maisonette,Furnished,2.0,1.0,1993
51.5559428,-0.1194482,Apartment,Unfurnished,1.0,,1750
51.6651414,-0.3337001,Detached,Furnished,6.0,6.0,12500
